name,src_file,src_line,total_ns,counts
system{name="lod::presentation::runtime::drain_lod_present_cull<chico_forests::grove::ChicoGrove, chico_forests::index::ForestIndex, chico_sbs_trees_playground::forest_stream::ForestRegionPresenter<'_, '_>, chico_forests::generation::ForestLodChan>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,13967965212,23158
plugin build{plugin="lod_avian::AvianLodSceneCullPlugin<chico_vegetation_components::foliage::node::FoliageNode, chico_sbs_trees_playground::vegetation_lod::VegetationCull, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,24625,1
plugin build{plugin="lod_avian::AvianLodSceneCullPlugin<chico_groves::tall_grass::vc::TallGrass, chico_sbs_trees_playground::vegetation_lod::VegetationCull, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,23375,1
asset loading{loader="bevy_shader::shader::ShaderLoader" asset="embedded://bevy_pbr/render/occlusion_culling.wgsl"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_asset-0.19.0/src/server/mod.rs,1667,44958,2
plugin build{plugin="lod::presentation::runtime::LodPresentCullRegionPlugin<chico_forests::generation::ForestPresentLattice, bevy_ecs::query::filter::With<lod::scene::refresh::viewer::LodViewer>, chico_forests::generation::ForestLodChan>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,21125,1
plugin build{plugin="lod_avian::AvianLodSceneCullPlugin<chico_groves::goettingen_follow::vc::GoettingenFollow, chico_sbs_trees_playground::vegetation_lod::VegetationCull, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,19959,1
plugin build{plugin="lod_avian::AvianLodSceneCullPlugin<chico_groves::shamanhome::vc::Shamanhome, chico_sbs_trees_playground::vegetation_lod::VegetationCull, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,19708,1
plugin build{plugin="lod_avian::AvianLodSceneCullPlugin<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::jungle_storybook_tree::JungleStorybookTree>>>, chico_sbs_trees_playground::vegetation_lod::VegetationCull, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,19667,1
plugin build{plugin="lod_avian::AvianLodSceneCullPlugin<chico_groves::temperate_lower_massives::vc::TemperateLowerMassives, chico_sbs_trees_playground::vegetation_lod::VegetationCull, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,18917,1
plugin build{plugin="lod_avian::AvianLodSceneCullPlugin<chico_groves::dryland::vc::Dryland, chico_sbs_trees_playground::vegetation_lod::VegetationCull, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,18834,1
plugin build{plugin="lod_avian::AvianLodSceneCullPlugin<chico_groves::jungle_massives::vc::JungleMassives, chico_sbs_trees_playground::vegetation_lod::VegetationCull, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,18792,1
