name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
system{name="bevy_transform::systems::propagate_transforms_for<bevy_ecs::query::filter::Or<(bevy_ecs::query::filter::With<bevy_gizmos::transform_gizmo::TransformGizmoRoot>, bevy_ecs::query::filter::With<bevy_gizmos_render::transform_gizmo_render::GizmoOverlayCamera>, bevy_ecs::query::filter::With<bevy_gizmos::transform_gizmo::TransformGizmoMeshMarker>)>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,824323,0.002813,1407,585,166,3250,274.091220
system{name="bevy_app::propagate::update_removed_limit<bevy_ui::ui_node::ComputedUiTargetCamera, (), bevy_ecs::hierarchy::ChildOf>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,663749,0.002265,1407,471,125,2000,140.664209
system{name="bevy_app::propagate::update_removed_limit<bevy_ui::ui_node::ComputedUiRenderTargetInfo, (), bevy_ecs::hierarchy::ChildOf>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,629230,0.002147,1407,447,84,23167,633.992011
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::foliage::node::FoliageNode, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,615833,0.002102,1,615833,615833,615833,0.000000
system{name="bevy_ecs::schedule::condition::common_conditions::any_match_filter<(bevy_ecs::query::filter::With<bevy_pbr::render::gpu_preprocess::PreprocessBindGroups>, bevy_ecs::query::filter::Without<bevy_pbr::render::gpu_preprocess::SkipGpuPreprocess>, bevy_ecs::query::filter::Without<bevy_render::view::NoIndirectDrawing>)>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,338887,0.001157,1406,241,41,8167,319.150377
system_commands{name="bevy_app::propagate::propagate_inherited<bevy_ui::ui_node::ComputedUiTargetCamera, (), bevy_ecs::hierarchy::ChildOf>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,246000,0.000840,1407,174,41,31333,834.837880
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::sticks::node::StickNode, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,239333,0.000817,1,239333,239333,239333,0.000000
system{name="avian3d::collision::collider::collider_hierarchy::plugin::on_collider_body_changed"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,17937194,0.061218,224105,80,41,9625,67.465790
system{name="<avian3d::ancestor_marker::AncestorMarkerPlugin<avian3d::collision::collider::backend::ColliderMarker> as bevy_app::plugin::Plugin>::build::{{closure}}"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,16500899,0.056316,224104,73,41,12459,73.460587
system{name="bevy_app::hierarchy::validate_parent_has_component<bevy_camera::visibility::InheritedVisibility>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,16924143,0.057760,224024,75,41,13083,59.842361
system{name="bevy_app::hierarchy::validate_parent_has_component<bevy_transform::components::global_transform::GlobalTransform>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,17957911,0.061288,224015,80,41,11500,77.215686
plugin build{plugin="lod::scene::refresh::regions::produce::LodSceneRefreshRegionPlugin<lod::scene::refresh::regions::bullseye::Bullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,223166,0.000762,1,223166,223166,223166,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_groves::monster_grass::vc::MonsterGrass>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,189167,0.000646,1,189167,189167,189167,0.000000
system_commands{name="bevy_app::propagate::propagate_inherited<bevy_ui::ui_node::ComputedUiRenderTargetInfo, (), bevy_ecs::hierarchy::ChildOf>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,172420,0.000588,1407,122,41,23709,630.728791
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_groves::braid_grass::vc::BraidGrass>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,146959,0.000502,1,146959,146959,146959,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_groves::bush_scrub::vc::BushScrub, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,130417,0.000445,1,130417,130417,130417,0.000000
